"filename", "language", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\eslint.config.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\package-lock.json", "JSON", 3431, 0, 0, 0, 0, 0, 0, 0, 1, 3432
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\App.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\basket-svgrepo-com (1).svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\basket-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\categories\phone.svg", "XML", 0, 0, 0, 0, 0, 33, 0, 1, 1, 35
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\categories\plug.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\categories\pods.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 1, 0, 35
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\categories\watch.svg", "XML", 0, 0, 0, 0, 0, 85, 0, 1, 84, 170
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\ecology-leaves-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 79, 0, 1, 0, 80
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\footer\insta.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\footer\tg.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\right-arrow-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\star-svgrepo-com (1).svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\star-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 1, 12
"c:\Users\maxim\OneDrive\Документы\МаксимУчеба\Проекты\Shop\src\assets\trees-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 1, 1, 23
